number,label,point_uri,sensor_223p_uri,canonical_uri,ifc_guid
1,"""Sensor01""",https://example.com/case-office/point/13w9LKJMvBR9NVulm$RjH_,https://example.com/case-office/223/sensor/13w9LKJMvBR9NVulm$RjH_,https://example.com/case-office/canonical/13w9LKJMvBR9NVulm$RjH_,"""13w9LKJMvBR9NVulm$RjH_"""
2,"""Sensor30""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIWZp,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIWZp,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIWZp,"""2s0j47hCv8iPIoVB1rIWZp"""
3,"""Sensor31""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZS1,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZS1,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZS1,"""2s0j47hCv8iPIoVB1rIZS1"""
4,"""Sensor32""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZTn,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZTn,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZTn,"""2s0j47hCv8iPIoVB1rIZTn"""
5,"""Sensor33""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZUb,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZUb,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZUb,"""2s0j47hCv8iPIoVB1rIZUb"""
6,"""Sensor34""",https://example.com/case-office/point/13w9LKJMvBR9NVulm$Rjo6,https://example.com/case-office/223/sensor/13w9LKJMvBR9NVulm$Rjo6,https://example.com/case-office/canonical/13w9LKJMvBR9NVulm$Rjo6,"""13w9LKJMvBR9NVulm$Rjo6"""
7,"""Sensor35""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZUL,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZUL,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZUL,"""2s0j47hCv8iPIoVB1rIZUL"""
8,"""Sensor36""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZOZ,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZOZ,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZOZ,"""2s0j47hCv8iPIoVB1rIZOZ"""
9,"""Sensor37""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZOM,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZOM,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZOM,"""2s0j47hCv8iPIoVB1rIZOM"""
10,"""Sensor38""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZPV,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZPV,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZPV,"""2s0j47hCv8iPIoVB1rIZPV"""
11,"""Sensor39""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZQC,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZQC,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZQC,"""2s0j47hCv8iPIoVB1rIZQC"""
12,"""Sensor40""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZR_,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZR_,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZR_,"""2s0j47hCv8iPIoVB1rIZR_"""
13,"""Sensor41""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZRQ,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZRQ,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZRQ,"""2s0j47hCv8iPIoVB1rIZRQ"""
14,"""Sensor42""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZKz,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZKz,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZKz,"""2s0j47hCv8iPIoVB1rIZKz"""
15,"""Sensor43""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZGL,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZGL,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZGL,"""2s0j47hCv8iPIoVB1rIZGL"""
16,"""Sensor44""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZHL,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZHL,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZHL,"""2s0j47hCv8iPIoVB1rIZHL"""
17,"""Sensor45""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZID,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZID,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZID,"""2s0j47hCv8iPIoVB1rIZID"""
18,"""Sensor46""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZJo,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZJo,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZJo,"""2s0j47hCv8iPIoVB1rIZJo"""
19,"""Sensor47""",https://example.com/case-office/point/2s0j47hCv8iPIoVB1rIZCh,https://example.com/case-office/223/sensor/2s0j47hCv8iPIoVB1rIZCh,https://example.com/case-office/canonical/2s0j47hCv8iPIoVB1rIZCh,"""2s0j47hCv8iPIoVB1rIZCh"""
